Company Name,Stock Code,Report Date,Beg.Amt,End.Amt,Investment Return,Currency Derivative?end value?,Commodity/Index Futures(end),Interest Derivative (end),Cashflow Hedge,Equity Options,Derivative Usage Dummy,oversea 
??????????,1,20071231,5090000,38288000,,10924.4,1482.337,170,,,,
??????????,1,20081231,38288000,201067000,,18974.58,1270,1270000,,,,
??????????,1,20091231,200986000,-153387000,,20137.07,-,800,,,,
??????????,1,20101231,-153387000,-18527000,,47535,-,2300,,,,
??????????,1,20111231,-18527000,6714000,,109552,,13256,,,,
??????????,1,20121231,6714000,-63765000,,153193,2,25832,,,,
??????????,1,20131231,-64000000,468000000,,385406,16360,53759,,,,
??????????,1,20141231,-325000000,401000000,,494841,39435,217175,,,,
??????????,1,20151231,401000000,1085000000,,677816,139721,640328,,,,
??????????,2,20091231,0,0,,,,4.626106,,,,
??????????,2,20101231,0,0,,,,12.491094,,,,
??????????,2,20111231,0,0,,,,30.798799,,,,
??????????,2,20121231,0,0,,,,25.537987,,,,
??????????,2,20131231,-,-,,-,-,18.281555,,,,
??????????,2,20141231,-572042.22,11013281.97,,19.88675,,0,,,,
??????????,2,20151231,11013281.97,0,,19.88675,,,,,,
??????????,16,20071231,0,8293387.77,,1032.23514,,,,,,
??????????,16,20081231,-17249624.92,-12481880.16,,1221.225627,0,0,,,,
??????????,16,20091231,4767744.76,16155044.16,,2854.3565,,,,,,
??????????,16,20101231,16155044.16,-68630285.86,,3730.957366,,,,,,
??????????,16,20111231,-68630285.86,42855947.89,,2155.905808,,,,,,
??????????,16,20121231,42855947.89,22101173.97,,0,,,,,,
??????????,16,20151231,0,32591836.13,,2247.1277,,,,,,
?????????????,32,20131231,0,60400,,28.2074,,,,,,
?????????????,32,20141231,60400,-169406.13,,33.0426,,,,,,
?????????????,32,20151231,-169406.13,109006.13,,7.9547,,,,,,
?????????(??)??????,39,20061231,,,,1894803657,,,,,,
?????????(??)??????,39,20071231,2708000,203969000,,1801.97437,yes,yes,,,,
,39,20081231,203969000,283208000,,3110.437928,3595.83705,2663583000,,,,
?????????(??)??????,39,20091231,283208000,-65159000,,3985.581654,yes,2172.069289,,,,
?????????(??)??????,39,20101231,-65159000,76841000,,5110.632148,yes,2370.373304,,,3430.056485,
?????????(??)??????,39,20111231,76841000,-34219000,,4161.855752,yes,2677.8825,,,,
?????????(??)??????,39,20121231,-34219000,-9162000,,3008.961,yes,1005.68,yes,,,
?????????(??)??????,39,20131231,-9162000,186964000,,11881.745,yes,666.437,yes,,,
?????????(??)??????,39,20141231,186964000,-229599000,,18614.405,yes,668.957,yes,,,
?????????(??)??????,39,20151231,-229599000,-46838000,,13255.738,yes,831.181,yes,,,
?????????????????,60,20071231,-76666368.62,60777545.65,,,yes,,,,,
?????????????????,60,20081231,60777545.65,1114991.31,,20.99623376,267.8234252,,,,,
?????????????????,60,20091231,1114991.31,-52713633.41,,,1113.491109,,,,,
?????????????????,60,20101231,-52713633.41,-117820002.1,,,841.8767497,,,,,
?????????????????,60,20111231,-117820002.1,70064510.43,,,158.3073642,,,,,
?????????????????,60,20121231,70064510.43,52825875.7,,,8938704.77,,,,,
?????????????????,60,20131231,52825875.7,3052743,,,317.1149156,,,,,
?????????????????,60,20141231,3052743,0,,,0,,,,,
?????????????????,60,20151231,,5657922.47,,,115.8512,,,,,
??????????,63,20071231,0,115566000,,yes,,,,,,
??????????,63,20081231,115566000,-128328000,,yes,,,,,,
??????????,63,20091231,-128328000,12560000,,yes,,,,,,
??????????,63,20101231,12560000,83597000,,5473.950864,,968.8501364,,,,
??????????,63,20111231,83597000,-77860000,,4567.433883,,808.403117,,,,
??????????,63,20121231,-77860000,-49456000,,3551.33,,628.56,yes,,0.849622837,
??????????,63,20131231,-49456000,174829000,,12747.2079,,609.69,yes,,,
??????????,63,20141231,174829000,17976000,,6838.1021,,620.05,yes,,,
??????????,63,20151231,17976000,-189613000,,1965.5325,,649.4,,,,
???????????,69,20111231,,14939579.6,,1019.373807,,484.6964677,,,,
???????????,69,20121231,14939579.6,-458099.42,,1019.373807,,484.6964677,,,,
???????????,69,20131231,-458099.42,-3668814.78,,1019.373807,,484.6964677,,,,
???????????,69,20141231,9034870.28,0,,,,,,,,
TCL????????,100,20071231,,225106000,,,,,,,,
TCL????????,100,20091231,-217372000,-51159000,,,,,,,,
TCL????????,100,20091231,60569000,0,,,,,,,,
TCL????????,100,20101231,-51159000,0,,,,,,,,
????????????,166,20141231,,886638.23,,,107.1607887,,,,,
????????????,166,20151231,886638.23,20895867.47,,,1643.3739,1365.9224,,,,
??????????,333,20131231,,546265.97,,yes,yes,,yes,,,
??????????,333,20141231,546265.97,-652791000,,yes,yes,,yes,,,
??????????,333,20151231,-652791000,81611000,,yes,yes,,yes,,,
???????????,404,20141231,,3673209.17,,268.4016,,,,,,
???????????,404,20151231,,13431706.22,,505.61,,,,,,
????????????,415,20121231,11477000,39035000,,,,7555.584,,,,
????????????,415,20131231,39035000,0,,,,10554.835,yes,,,
????????????,415,20141231,0,1742000,,,,7241.255,yes,,,
???????????,418,20121231,,-3067710,,242.45035,,,,,,
???????????,418,20131231,-3067710,13792150,,483.71,,,,,,
???????????,418,20141231,13792150,-14767832.25,,57.7,,,,,,
???????????,418,20151231,-14767832.25,-248900,,,,,,,,
?????????????,426,20141231,,-282100,,,5.2986,,,,,
?????????????,426,20151231,-282100,282100,,,,,,,,
??????????????,488,20071231,,5955480,,247.928,,,,,,
??????????????,488,20081231,5955480,1738200,,,,,,,,
??????????????,488,20091231,1738200,8443100,,9.8,,,,,,
??????????????,488,20101231,8443100,-8450000,,1.52117298,,,,,,
??????????????,488,20111231,-8450000,0,,,,,,,,
??????????,521,20141231,,-81170,,133.1993,,,,,,
??????????,521,20151231,-81170,81170,,195.6709,,,,,,
????????????,527,20081231,,-22126200,,,413.1626267,,,,,
????????????,527,20091231,-22126200,27126910,,27.11,1.3386,,yes,,,
????????????,527,20101231,27126910,118069080,,142.61077,20.0443,,yes,,,
????????????,527,20111231,118069080,38744490,,178.39133,3.30655,,yes,,,
????????????,527,20121231,38744490,-75823320,,103.72693,29.51625,,yes,,,
??????????,562,20071231,0,251582259.8,,,,,,,,
??????????,562,20081231,251582259.8,-251582259.8,,,,,,,,
??????????,562,20091231,-251582259.8,0,,,,,,,,
??????????,562,20111231,,226620,,,17.6475,,,,,
??????????,562,20121231,226620,-12709440,,,426.67566,,,,,
??????????,562,20131231,-12709440,9752700,,,366.3504,,,,,
??????????,589,20081231,,-4357664.89,,,yes,,,,,
????????????,626,20071231,,-830010,,,yes,,,,,
????????????,626,20081231,-830010,-6881151.8,,,yes,,,,,
????????????,626,20091231,-6881151.8,5715301.8,,,yes,,,,,
????????????,626,20101231,5715301.8,-3389314.95,,yes,yes,,,,,
????????????,626,20111231,-3389314.95,7353316.95,,yes,yes,,,,,
????????????,626,20121231,7353316.95,-54043463.2,,,yes,,,,,
????????????,626,20131231,-54043463.2,101857525.3,,,yes,,,,,
????????????,626,20141231,101857525.3,-142526762.3,,,13048.5846,,,,,
????????????,651,20091231,,2307044.77,,59.444,29.5893,,yes,,,
????????????,651,20101231,2307044.77,69192469.15,,161.514107,50.0457329,,yes,,,
????????????,651,20111231,69192469.15,-57508666.64,,75.72925822,49.68598231,,,,,
????????????,651,20121231,-57508666.64,246884832.1,,263.4600174,13.75294026,,,,,
????????????,651,20131231,246884832.1,990563610.1,,1246.1066,15.2053,,yes,,,
????????????,651,20141231,990563610.1,-1381551572,,299.881,49.9902,,yes,,,
????????????,651,20151231,-1381551572,-1010322499,,1189.0284,43.4429,,yes,,,
?????????????,683,20131231,,43750,,,0.35375,,,,,
?????????????,683,20141231,43750,0,,,,,,,,
??????????,686,20121231,,-702600,,,11.418315,,,,,
??????????,686,20131231,-702600,929400,,,21.2904,,,,,
??????????,686,20141231,929400,-226800,,,,,,,,
??????????,686,20151231,-226800,-68546071.68,,,148.1985728,4700,,,,
??????????,701,20131231,,854474.14,,43.47415,,,,,,
??????????,701,20141231,,-854474.14,,15.199,,,,,,
??????????,701,20151231,-854474.14,1005260.22,,1154.71475,,,,,,
??????????,703,20131231,,16268273.3,,720.92,164.92,,,,,
??????????,703,20141231,16268273.3,-17617037.3,,1070.83,3.14,,yes,,,
??????????,703,20151231,-17617037.3,25757225.29,,6928.4324,435.65,,yes,,,
,712,20141231,,32933.22,,,,100000000,,,,
????????????,712,20151231,32933.22,-9183.22,,,4028000,700000000,,,,
????????????,717,20131231,-7915477.6,7915477.6,,yes,,,,,,
????????????,717,20141231,7915477.6,0,,yes,,,,,,
????????????,717,20151231,0,6626040.72,,1445.599,4.325,19.4808,,,,
????????????,723,20151231,-565795,0,,,yes,,,,,
??????????,726,20101231,,-19039237,,2508.330543,,,,,,
??????????,726,20111231,-19039237,-19478820,,3367.88857,,,,,,
??????????,726,20121231,-19478820,-2550739,,954.842259,,,,,,
??????????,726,20131231,-2550739,11560479,,984.4979,,yes,,,,
??????????,728,20071231,-5440971.25,255085035.6,,,,,,yes,,
??????????,728,20081231,255085035.6,-258251481.5,,,,,,yes,,
??????????,728,20091231,-258251481.5,0,,,,,,yes,,
??????????,728,20101231,,,,,yes,,,,,
,,20121231,,,,,yes,,,,,
,,20131231,,,,,yes,,,,,
,,20141231,,-935640,,,31.2826,,,,,
??????????,728,20151231,-935640,1428420,,,812.71945,,,,,
??????????,750,20131231,,345268.48,,,42.29184,,,,,
??????????,750,20141231,345268.48,-990168.48,,,4.6743,,,,,
??????????,750,20151231,-990168.48,-23307690.94,,,3.15136,,,144.0223571,,
????????????,767,20131231,,-73648181,,,,91.4977098,,,,
????????????,767,20141231,-73648181,-14632331,,,,91.4977098,,,,
????????????,767,20151231,-14632331,0,,,,,,,,
??????????,776,20101231,,53555520,,50,1531.2888,,,,,
??????????,776,20111231,53555520,129785580,,,2073.2757,,,,,
??????????,776,20121231,129785580,-378854716.9,,,3250.562534,450,,,,
??????????,776,20131231,-378854716.9,205684078.6,,,5223.557717,5250,,1,,
??????????,776,20141231,205684078.6,-268046966.3,,,2867.597531,23655,,4089.083545,,
??????????,778,20151231,-268046966.3,187101268.4,,,1408.649947,77066,,21679.33008,,
??????????,778,20131231,0,1174920,,,,,,,,
??????????,778,20141231,1174920,-944920,,,,,,,,
??????????,778,20151231,-944920,-145000,,,,,,,,
??????????,783,20111231,,,,,,,,,1,
??????????,783,20121231,,-25302660,,,,,,598.21638,1,
??????????,783,20131231,-25302660,24869207.57,,,11.76525,1600,,92.96808,1,
??????????,783,20141231,24869207.57,-182642806.4,,,1040.526238,7320,,5475.379319,1,
??????????,783,20151231,-182642806.4,-249785692.1,,69,419.612,9244,,6468.877391,,
??????????,788,20111231,,1278800,,32.93644,,,,,,
??????????,788,20121231,1278800,-1278753.58,,,,,,,1,
??????????,788,20131231,-1278753.58,408527.1,,15.2423,,,,,,
??????????,788,20141231,408527.1,336829.98,,81.51645,,,,,,
??????????,788,20151231,,-745357.08,,,,,,,,
????????????,801,20111231,,90790,,25.83,,,,,,
????????????,801,20121231,90790,868700,,106.8535,,,,,,
????????????,801,20131231,868700,1453000,,97.5504,,,,,,
????????????,801,20141231,1453000,65800.17,,159.094,,,,,,
????????????,801,20151231,65800.17,-2387500.17,,22.4024,,,,,,
????????????????,816,20121231,,,,,,,,,,
????????????????,816,20131231,,1673532,,240.7825,,,,,,
????????????????,816,20141231,1673532,-1522912,,56.8243,,,,,,
????????????????,816,20151231,-1522912,-150620,,31.08725,,,,,,
?????????????,825,20151231,,6961673.63,,,64.97335,,,,,
????(??)??????,833,20141231,,-108380,,,9.276,,,,,
????(??)??????,833,20151231,-108380,108380,,,,,,,,
????????????,850,20141231,,30355,,,,,,,,
????????????,850,20151231,30355,0,,,,,,,,
?????????????,887,20141231,,-7839079.46,,yes,,yes,,,,
?????????????,887,20151231,-7839079.46,1463992.37,,yes,,yes,,,,
???????????,890,20131231,,-1026400,,49.8432,,,,,,
???????????,890,20141231,-1026400,1154150,,15.631,,,,,,
???????????,890,20151231,1154150,-127750,,,,,,,,
??????????,906,20091231,,-4922866,,,279.5187,,,,,
??????????,906,20101231,-4922866,2985086,,,338.6115,,,,,
??????????,906,20111231,2985086,2353920,,,21.005,,,,,
??????????,906,20121231,2353920,-56725748,,,51.4738,,,,,
??????????,906,20131231,-56725748,56309608,,,,,,,,
??????????,906,20141231,56309608,-1323000,,,,,,,,
????????????,913,20081231,,-13552200,,,yes,,,,,
????????????,913,20091231,-13552200,33601975,,,41.14045,,,,,
????????????,913,20101231,33601975,-20036450,,,32.399925,,,,,
????????????,913,20111231,-20036450,-67694.87,,,4.75605,,,,,
????????????,913,20121231,-67694.87,-1062256.68,,,,,,,,
????????????,913,20131231,-1062256.68,17609346.65,,,17.6203,,,,,
????????????,913,20141231,17609346.65,-16131534.4,,,0.816,,,,,
????????????,913,20151231,-16131534.4,-364185.7,,,,,,,,
????????????,921,20071231,,,,yes,,,,,1,
????????????,921,20081231,,-11058654.62,,266.76,1.0452,,,,,
????????????,921,20091231,-11058654.62,12300769.38,,404.103,,,,,,
????????????,921,20101231,12300769.38,17632914.8,,1389.8987,,,,,,
????????????,921,20111231,17632914.8,4961913.35,,1597.3221,,,,,,
????????????,921,20121231,4961913.35,-16637512.22,,1998.1646,,,,,,
????????????,921,20131231,-16637512.22,56596312.1,,2785.4331,,,,,,
????????????,921,20141231,56596312.1,-74339051.01,,2211.6098,,,,,,
????????????,921,20151231,-74339051.01,-2539056.09,,833.4285,,,,,,
????????????,925,20081231,,-399542.16,,,,,,,1,
????????????,925,20091231,-399542.16,509426.96,,,,,,yes,1,
????????????,925,20101231,509426.96,-184710.89,,,,,,yes,1,
????????????,925,20111231,-184710.89,74826.09,,,,,,yes,1,
????????????,925,20121231,74826.09,25820.21,,,,,,yes,1,
????????????,925,20141231,25820.21,-313410.85,,39.6289,,,,,1,
????????????,925,20151231,-313410.85,313410.85,,0,,,,,,
????????????,966,20071231,,,,,,3000,,,,
????????????,966,20081231,,-13805892,,,,3000,,,,
????????????,966,20091231,-13805892,-191918,,,,3000,,,,
????????????,966,20101231,-191918,-1896670,,,,3000,,,,
????????????,966,20111231,-1896670,487860,,,,3000,,,,
????????????,966,20121231,,,,,,,,,1,
??????????????,967,20081231,,48610.95,,yes,,,,,,
??????????????,967,20091231,48610.95,-613139.34,,,yes,,,,,
??????????????,967,20101231,-613139.34,-1900959.47,,,yes,,yes,,,
??????????????,967,20111231,-1900959.47,15117788.93,,yes,yes,,yes,,,
??????????????,967,20121231,15117788.93,-8185440.76,,yes,yes,,yes,,,
??????????????,967,20131231,-8185440.76,149216.79,,yes,yes,,yes,,,
??????????????,967,20141231,-215426.02,-1303516.82,,3.0368,,,yes,,,
??????????????,967,20151231,-1303516.82,5361306.48,,,,,yes,,,
????????????,982,20141231,,15777180.32,,1046.3795,,,,,,
????????????,982,20151231,15777180.32,-34237737.7,,432.1486,,,,,,
???????????,2001,20131231,,1008989.46,,141.7375,,,,,,
???????????,2001,20141231,1008989.46,-4303254.26,,161.5416,,,,,,
???????????,2001,20151231,-4303254.26,1509146.49,,133.51,,,,,,
??????????????,2005,20081231,,1062200,,,,,,,1,
??????????????,2005,20091231,588200,207100,,13.45,,,,,,
??????????????,2005,20101231,207100,-21180.66,,6.62,,,,,,
??????????????,2005,20111231,-21180.66,990635.15,,6.6227,,20.7705,,,,
??????????????,2005,20121231,990635.15,-128272.38,,,,,,,1,
??????????????,2005,20131231,,,,,,0,,,1,
??????????????,2005,20151231,,1317972.6,,yes,,,,,,
??????????,2010,20151231,,176431.11,,28.3808,,,,,,
????????????,2017,20141231,732904,46976.64,,yes,,,,,,
????????????,2017,20151231,46976.64,-2279956.08,,yes,,,,,,
??????????????,2027,20071231,0,417788.35,,yes,,,,,,
??????????????,2027,20081231,417788.35,814130.01,,yes,,,,,,
??????????????,2027,20091231,814130.01,,,,,,,,,
???????????????,2043,20101231,809190,2478435,,113.8025,,,,,,
???????????????,2043,20111231,2478435,-3239105,,4.7855,,,,,,
???????????????,2043,20121231,-3239105,-48520,,yes,,,,,,
???????????????,2043,20131231,-48520,1733760,,87.79536,,,,,,
???????????????,2043,20141231,1733760,-3705711,,99.1278,16.926,,,,,
???????????????,2043,20151231,-3705711,1971951,,yes,,,,,,
??????????????,2050,20081231,,3057205,,yes,yes,,,,,
??????????????,2050,20091231,3057205,4407670,,yes,yes,,,,,
??????????????,2050,20101231,4407670,2114000,,yes,yes,,,,,
??????????????,2050,20111231,2114000,7449701,,yes,3.7075,,,,,
??????????????,2050,20121231,7449701,-6339741,,12.943176,yes,,,,,
??????????????,2050,20131231,-6339741,1857320,,yes,yes,,,,,
??????????????,2050,20141231,1857320,-18567932.21,,yes,yes,,,,,
??????????????,2050,20151231,-18567932.21,2694514.8,,yes,yes,,,,,
????????????,2051,20131231,159108.17,-1448074.14,,,,,,,,
????????????,2051,20141231,-1448074.14,0,,,,,,,,
????????????,2064,20131231,0,-553723.45,,yes,,,,,1,
????????????,2064,20141231,-553723.45,553723.45,,yes,,,,,,
????????????,2064,20151231,553723.45,0,,yes,,,,,,
????????????,2078,20091231,,-7238906.96,,,,,,,1,
????????????,2078,20101231,-7238906.96,2095775.97,,,,,,,,
????????????,2078,20111231,2095775.97,4876603.8,,,,,,,,
????????????,2078,20121231,4876603.8,266527.19,,,,,,,,
????????????,2078,20131231,266527.19,,,,,,,,,
????????????,2078,20141231,,-3075500,,37.278,,,,,1,
????????????,2078,20151231,,,,yes,,,,,1,
????????????,2079,20081231,,-652050,,134.716,yes,,,,,
????????????,2079,20091231,-652050,549792.61,,149.017,yes,,,,,
????????????,2079,20101231,549792.61,461299.53,,312.8,,,,,,
????????????,2079,20111231,461299.53,1475.13,,44.1063,,,,,,
????????????,2079,20121231,1475.13,364490.16,,144.5665,,,,,,
????????????,2079,20131231,364490.16,,,,,,,,,
??????????,2083,20101231,,5108000,,,,,,,,
??????????,2083,20111231,5108000,-5543000,,459.4934227,,,,,,
??????????,2083,20121231,-5543000,435000,,327.0249296,,,,,,
??????????,2083,20131231,435000,,,,,,,,,
??????????,2083,20141231,,-2010875,,,yes,,,,,
??????????,2083,20151231,-2010875,,,,yes,,,,1,
??????????????,2084,20091231,,366548.01,,,yes,,,,,1
??????????????,2084,20101231,366548.01,9457994.49,,yes,,,,,,1
??????????????,2084,20111231,9457994.49,-6739017.24,,yes,yes,,,,,1
??????????????,2084,20121231,-6739017.24,4516566.98,,yes,yes,,,,,1
??????????????,2084,20131231,4516566.98,4658176.75,,yes,yes,,,,,1
??????????????,2084,20141231,4658176.75,-15585102.29,,yes,yes,,,,,1
??????????????,2084,20151231,-15585102.29,-11478998.84,,yes,yes,,,,,1
??????????????,2085,20061231,,,,,yes,,,,1,1
??????????????,2085,20071231,,1573218.08,,yes,yes,,,,,1
??????????????,2085,20081231,1573218.08,-11283218.08,,yes,yes,,,,,1
??????????????,2085,20091231,-11283218.08,7284400,,yes,,,,,,1
??????????????,2085,20101231,7284400,9977000.02,,yes,,,,,,1
??????????????,2085,20111231,9977000.02,5922992.68,,yes,,,,,,1
??????????????,2085,20121231,5922992.68,-4290824.48,,yes,,,,,,1
??????????????,2085,20131231,-4290824.48,34495619.46,,yes,,,,,,1
??????????????,2085,20141231,34495619.46,-66384648.64,,yes,,,,,,1
??????????????,2085,20151231,-66384648.64,-27889811.35,,yes,,,,,,1
?????????????,2095,20101231,22800,-22800,,,,,,,,
????????????,2099,20111231,,561040,,yes,,,,,,1
????????????,2099,20121231,561040,-561040,,yes,,,,,,1
????????????,2099,20141231,,-37180,,18.357,,,,,,1
????????????,2099,20151231,-37180,37180,,yes,,,,,,1
??????????,2103,20101231,,,,yes,,,,,,1
??????????,2103,20111231,,6183550,,576.53235,,,,,,1
??????????,2103,20121231,6183550,-3186135,2638585,329.98875,,,,,,1
??????????,2103,20131231,-3186135,2230740,12391735,yes,,,,,,1
??????????,2103,20141231,2230740,-4834263.6,-1473473.6,yes,,,,,,1
??????????,2103,20151231,-4834263.6,-393891.4,-232845.91,yes,,,,,,1
??????????,2112,20071231,,,1238288.17,,yes,,,,,1
??????????,2112,20081231,,,-4703152.36,,yes,,,,,1
??????????,2112,20091231,,,825825.93,,yes,,,,,1
??????????,2112,20101231,,,1019943.21,,yes,,,,,1
??????????,2112,20111231,,28800,37141.8,,yes,,,,,1
??????????,2112,20121231,28800,241700,-35426.02,,yes,,,,,1
??????????,2112,20131231,241700,165600,317696.56,,yes,,,,,1
??????????,2112,20141231,165600,-165600,514227.79,,yes,,,,,1
??????????,2112,20151231,-165600,,-736370.72,,yes,,,,,1
????????????,2114,20071231,,-69275,1282041.11,,yes,,,,,1
????????????,2114,20081231,-69275,-280850,34179008.73,,yes,,,,,1
????????????,2114,20091231,-280850,350125,-17558854.81,,yes,,,,,1
????????????,2114,20101231,,,-10321473.93,,yes,,,,,1
????????????,2114,20111231,,-116250,-12857047.51,,yes,,,,,1
????????????,2114,20121231,-116250,116250,2696759.97,,yes,,,,,1
????????????,2114,20131231,,1953264.26,1953264.26,,yes,,,,,1
????????????,2114,20141231,1953264.26,-1953264.26,,,yes,,,,,1
????????????,2114,20151231,-1953264.26,-17290890.29,,,yes,,,,,1
????????????,2119,20091231,,642085.3,6305224.35,,1.697864,,,,,1
????????????,2119,20101231,642085.3,-870557.68,790837.09,,0.315846,,,,,1
????????????,2119,20111231,-870557.68,-1775710.92,6307732.12,,19.416048,,,,,1
????????????,2119,20121231,-1775710.92,2515889.01,6869140.26,,yes,,,,,1
????????????,2119,20131231,2515889.01,-1611794,-2105400,,yes,,,,,1
????????????,2119,20141231,-1611794,1220220,1102800,,yes,,,,,1
????????????,2119,20151231,1220220,-1099325,-3006270.27,,yes,,,,,1
????????????,2120,20081231,,-3902850.86,,yes,,,,,,
????????????,2120,20091231,-3902850.86,3902850.86,,yes,,,,,,
????????????,2120,20101231,,,,yes,,,,,1,
????????????,2120,20131231,,3999690,,yes,,,,,,1
????????????,2120,20141231,3999690,-4422005,,yes,,,,,,1
????????????,2120,20151231,-4422005,-1260790.4,40265,yes,,,,,,
??????????,2131,20081231,,,,yes,,,,,,1
??????????,2131,20091231,,-940765,,432.8886645,,,,,,1
??????????,2131,20101231,-940765,8112185,,yes,,,,,,1
??????????,2131,20111231,8112185,290730,,629.76067,,,,,,
??????????,2131,20121231,290730,-823910,,,,,,,,
??????????,2131,20131231,-823910,11878847,,,,,,,,
??????????,2131,20141231,11878847,-20850429.5,,369.5876,,,,,,
??????????,2131,20151231,-20850429.5,-8597505,,452.9286,,,,,,
??????????,2133,20071231,,3264406.73,,,,,,,,
??????????????,2141,20131231,,28580.37,255275.64,yes,yes,,,,,1
??????????????,2141,20141231,28580.37,59133.32,41394.92,yes,yes,,,,,1
??????????????,2141,20151231,59133.32,-348700,-120452.88,,yes,,,,,
??????????,2142,20071231,,999619,,4205.706,,70,,,,
??????????,2142,20081231,999619,72300580.37,,11840.241,,3160,,,,
??????????,2142,20091231,72300000,-72172000,,33989.848,,22510.25,,,,
??????????,2142,20101231,-72172000,2424000,,51664.104,,35548.21,,,,
??????????,2142,20111231,2424000,-203377000,,57250.139,,35780.125,,,,
??????????,2142,20121231,-203377000,177155000,-54217000,121842.487,,66953.69,,,,
??????????,2142,20131231,177155000,-125965000,-1337870000,151936.515,,108846.526,,,,
??????????,2142,20141231,-125965000,43509000,129208000,184012.366,,230561.606,,,,
??????????,2142,20151231,43509000,212952000,458502000,283469.041,16474.917,649138.064,,,,
??????????,2155,20091231,,-4563040,-22439957.75,,yes,,,,,1
??????????,2155,20101231,-4563040,-44880,-2833967.87,,yes,,,,,1
??????????,2155,20111231,-44880,-1650000,5915694.71,,yes,,,,,1
??????????,2155,20121231,-1650000,4892990,-2782288.43,,yes,,,,,1
??????????,2155,20131231,4892990,584303.64,8170400,,yes,,,,,1
??????????,2155,20141231,584303.64,180651.92,-5466265.89,,yes,,,,,1
??????????,2155,20151231,180651.92,1715446.34,-2106495.25,,yes,,,,,1
?????????????,2180,20141231,,-25178650,17960036.34,,,,,,1,1
?????????????,2180,20151231,-25178650,-31592700,12602650,yes,,,,,,1
???????????????,2183,20061231,,1901195,12833627,yes,,yes,,,,1
???????????????,2183,20071231,1901195,-104065741,-5190068,yes,,,,,,1
???????????????,2183,20081231,-104065741,67067745,-57885018,yes,,,,,,1
???????????????,2183,20091231,67067745,-47900875,52566179,yes,,yes,,yes,,1
???????????????,2183,20101231,-47900875,-28312735,4747313,yes,yes,yes,1,,,1
???????????????,2183,20111231,-28312735,-21520485,-156977607,yes,yes,yes,1,,,1
???????????????,2183,20121231,-21520485,28072935,-47098868,yes,yes,yes,1,yes,,1
???????????????,2183,20131231,28072935,-25390618,12573197,yes,yes,yes,1,yes,,1
???????????????,2183,20141231,-25390618,33895064,-16613082,yes,yes,yes,1,yes,,1
???????????????,2183,20151231,33895064,2602898,-1931315,yes,yes,yes,1,yes,,1
??????????,2188,20111231,,699328.7,,yes,,,,,,1
??????????,2188,20121231,699328.7,1183552.45,624586.9,yes,,,,,,1
??????????,2188,20131231,1183552.45,-1106852.45,3980445.72,yes,,,,,,1
??????????,2188,20141231,-1106852.45,-76700,401360,yes,,,,,,1
??????????,2188,20151231,-76700,0,603303.06,yes,,,,,,1
????????????,2202,20081231,0,-2279123.35,2490471.77,yes,,,,,,1
????????????,2202,20091231,-2279123.35,-3799936.91,8184317.6,yes,,,,,,1
